Stability_time_total_exposure,Stability_relative_humidity_average_value,JV_reverse_scan_FF,JV_default_Jsc,Cell_area_measured,JV_reverse_scan_PCE,Stability_PCE_initial_value,JV_forward_scan_Voc,JV_average_over_n_number_of_cells,Stability_light_intensity,Perovskite_deposition_number_of_deposition_steps
-88.86397,-1.097819,-16.738064,-12.867286,-9.281424,-16.338037,-1.1993194,-5.676051,8.298552,-8.334745,0.12190221
324.43954,14.309374,-22.988998,2.3764143,26.666018,33.832127,24.213299,-9.167683,5.468559,9.641859,2.2394378
-43.297447,3.0895455,3.6297028,11.788624,-43.934677,3.273195,5.1163454,-4.874829,5.6118608,9.119282,-0.019924665
-77.3536,14.333329,3.3778906,3.8586164,1.4086547,-27.835548,-5.9134674,-14.636607,-7.586143,9.316228,2.027982
-174.70877,10.249798,-46.50491,11.360152,19.777939,18.966372,0.8338088,0.7584106,-9.137828,-18.67624,1.1765192
327.97473,30.714144,-0.12212652,33.824764,30.713837,38.15332,15.741873,59.936035,-9.367373,10.5760565,2.645883
-45.449974,-0.58392596,-3.791704,-11.678893,-5.4066496,-34.342102,4.4564714,-19.884916,-22.14826,6.3379726,0.77510715
-157.54138,-1.5676,-19.453253,-1.4579303,20.916,21.928629,4.312974,-0.33521563,-10.697583,7.205417,1.0262452
-166.55876,-4.282406,-38.750347,44.546257,-8.944936,1.5962133,3.7414236,-16.487614,5.6483097,5.093259,-3.847933
-62.284668,4.158264,6.448937,40.842552,12.6244135,36.465282,5.2523966,3.7829645,-11.360047,7.9999166,-4.22251
-327.89038,-2.340168,-6.5370126,-11.719916,-10.103647,-23.162434,1.0962049,4.064955,5.8030553,-6.160159,-3.7998912
